"filename", "language", "JavaScript", "JavaScript React", "Less", "comment", "blank", "total"
"d:\work\react\mes\src\pages\sample\UploadSequenceFile\index.jsx", "JavaScript React", 0, 321, 0, 15, 14, 350
"d:\work\react\mes\src\pages\sample\UploadSequenceFile\index.less", "Less", 0, 0, 48, 2, 3, 53
"d:\work\react\mes\src\pages\sample\api\bp.js", "JavaScript", 18, 0, 0, 9, 5, 32
"d:\work\react\mes\src\pages\sample\api\disk.js", "JavaScript", 40, 0, 0, 15, 5, 60
"d:\work\react\mes\src\pages\sample\api\sample.js", "JavaScript", 36, 0, 0, 7, 8, 51
"d:\work\react\mes\src\pages\sample\components\CustomComponents\index.jsx", "JavaScript React", 0, 35, 0, 1, 2, 38
"d:\work\react\mes\src\pages\sample\locales\en-US.js", "JavaScript", 4, 0, 0, 0, 2, 6
"d:\work\react\mes\src\pages\sample\locales\en-US\menu.js", "JavaScript", 5, 0, 0, 0, 1, 6
"d:\work\react\mes\src\pages\sample\locales\zh-CN.js", "JavaScript", 4, 0, 0, 0, 2, 6
"d:\work\react\mes\src\pages\sample\locales\zh-CN\menu.js", "JavaScript", 5, 0, 0, 0, 1, 6
"d:\work\react\mes\src\pages\sample\model.js", "JavaScript", 60, 0, 0, 9, 2, 71
"d:\work\react\mes\src\pages\sample\sample-detail\index.jsx", "JavaScript React", 0, 87, 0, 1, 6, 94
"d:\work\react\mes\src\pages\sample\sample-detail\index.less", "Less", 0, 0, 23, 0, 1, 24
"d:\work\react\mes\src\pages\sample\sample-manage\index.jsx", "JavaScript React", 0, 304, 0, 20, 24, 348
"Total", "-", 172, 747, 71, 79, 76, 1145